date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:07:53	141/141	---M--	200	added ('OK')	text/plain	date:Fri,%2006%20Apr%202018%2022:01:21%20GMT	https://steamcommunity.com/robots.txt		(from )
04:07:53	46721/46721	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Apr%202020%2001:07:54%20GMT	https://steamcommunity.com/login/home/?goto=	C:/Users/mello/Desktop/steam/steamcommunity.com/login/home/index8d63.html	(from )
04:07:53	2661/2661	---M-Z	200	added ('OK')	text/css	etag:%22FAK4O46_mOLB%22	https://steamcommunity-a.akamaihd.net/public/shared/css/motiva_sans.css?v=FAK4O46_mOLB&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/css/motiva_sansf956.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:53	33440/33440	---M-Z	200	added ('OK')	text/css	etag:%226uRURryOh96m%22	https://steamcommunity-a.akamaihd.net/public/shared/css/buttons.css?v=6uRURryOh96m&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/css/buttons7b7a.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:53	70973/70973	---M-Z	200	added ('OK')	text/css	etag:%22eHg2oFGho5Gm%22	https://steamcommunity-a.akamaihd.net/public/shared/css/shared_global.css?v=eHg2oFGho5Gm&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/css/shared_global198c.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:54	35439/35439	---M-Z	200	added ('OK')	text/css	etag:%22NxHTqp2J_7zD%22	https://steamcommunity-a.akamaihd.net/public/css/globalv2.css?v=NxHTqp2J_7zD&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/css/globalv20df4.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:54	10901/10901	---M-Z	200	added ('OK')	text/css	etag:%228waxcT4JOLpy%22	https://steamcommunity-a.akamaihd.net/public/shared/css/login.css?v=8waxcT4JOLpy&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/css/loginc24f.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:54	14836/14836	---M-Z	200	added ('OK')	text/css	etag:%22DmW47G27LqR9%22	https://steamcommunity-a.akamaihd.net/public/css/skin_1/home.css?v=DmW47G27LqR9&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/css/skin_1/home21b1.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:54	15635/15635	---M-Z	200	added ('OK')	text/css	etag:%22Zo1pXmF7n6Yo%22	https://steamcommunity-a.akamaihd.net/public/shared/css/shared_responsive.css?v=Zo1pXmF7n6Yo&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/css/shared_responsive7125.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:55	13091/13091	---M-Z	200	added ('OK')	text/css	etag:%22Bv4kKK3Pxl5t%22	https://steamcommunity-a.akamaihd.net/public/css/skin_1/header.css?v=Bv4kKK3Pxl5t&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/css/skin_1/headeraf2e.css	(from https://steamcommunity.com/login/home/?goto=)
04:07:59	100479/100479	---M-Z	200	added ('OK')	text/javascript	etag:%22Q_zPbXOlz8A_%22	https://steamcommunity-a.akamaihd.net/public/javascript/global.js?v=Q_zPbXOlz8A_&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/javascript/globaldeb4.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:00	122171/122171	---M-Z	200	added ('OK')	text/javascript	etag:%22OeNIgrpEF8tL%22	https://steamcommunity-a.akamaihd.net/public/javascript/scriptaculous/_combined.js?v=OeNIgrpEF8tL&l=romanian&load=effects,controls,slider,dragdrop	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/javascript/scriptaculous/_combined8635.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:00	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/mello/Desktop/steam/www.google-analytics.com/analytics.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:00	169399/169399	---M-Z	200	added ('OK')	text/javascript	etag:%22.55t44gwuwgvw%22	https://steamcommunity-a.akamaihd.net/public/javascript/prototype-1.7.js?v=.55t44gwuwgvw	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/javascript/prototype-1.72683.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:00	95790/95790	---M-Z	200	added ('OK')	text/javascript	etag:%22.isFTSRckeNhC%22	https://steamcommunity-a.akamaihd.net/public/javascript/jquery-1.11.1.min.js?v=.isFTSRckeNhC	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/javascript/jquery-1.11.1.mined84.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:00	15301/15301	---M-Z	200	added ('OK')	text/javascript	etag:%22.vG8yiuBTGwkE%22	https://steamcommunity-a.akamaihd.net/public/shared/javascript/tooltip.js?v=.vG8yiuBTGwkE	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/javascript/tooltip017f.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:00	137412/137412	---M-Z	200	added ('OK')	text/javascript	etag:%22_chgMIHnhXmi%22	https://steamcommunity-a.akamaihd.net/public/shared/javascript/shared_global.js?v=_chgMIHnhXmi&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/javascript/shared_global0ca9.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:00	62473/62473	---M-Z	200	added ('OK')	text/javascript	etag:%22VVGsCUWb7tU0%22	https://steamcommunity-a.akamaihd.net/public/shared/javascript/login.js?v=VVGsCUWb7tU0&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/javascript/login2a80.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:01	19976/19976	---M-Z	200	added ('OK')	text/javascript	etag:%227QU9JYU9dFl7%22	https://steamcommunity-a.akamaihd.net/public/shared/javascript/shared_responsive_adapter.js?v=7QU9JYU9dFl7&l=romanian	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/javascript/shared_responsive_adaptera44f.js	(from https://steamcommunity.com/login/home/?goto=)
04:08:01	21940/21940	---M--	200	added ('OK')	image/png	etag:%225a4ed654-55b4%22	https://steamcommunity-a.akamaihd.net/public/shared/images/responsive/share_steam_logo.png	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/images/responsive/share_steam_logo.png	(from https://steamcommunity.com/login/home/?goto=)
04:08:01	1846/1846	---M--	200	added ('OK')	image/png	etag:%225a4ed654-736%22	https://steamcommunity-a.akamaihd.net/public/shared/images/responsive/logo_valve_footer.png	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/images/responsive/logo_valve_footer.png	(from https://steamcommunity.com/login/home/?goto=)
04:08:01	3777/3777	---M--	200	added ('OK')	image/png	etag:%225a4ed654-ec1%22	https://steamcommunity-a.akamaihd.net/public/shared/images/responsive/header_menu_hamburger.png	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/images/responsive/header_menu_hamburger.png	(from https://steamcommunity.com/login/home/?goto=)
04:08:01	10863/10863	---M--	200	added ('OK')	image/png	etag:%225a4ed654-2a6f%22	https://steamcommunity-a.akamaihd.net/public/shared/images/responsive/header_logo.png	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/images/responsive/header_logo.png	(from https://steamcommunity.com/login/home/?goto=)
04:08:02	6369/6369	---M--	200	added ('OK')	image/png	etag:%225c197fc3-18e1%22	https://steamcommunity-a.akamaihd.net/public/shared/images/header/globalheader_logo.png?t=962016	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/shared/images/header/globalheader_logo38f6.png	(from https://steamcommunity.com/login/home/?goto=)
04:08:02	43/43	---M--	200	added ('OK')	image/gif	etag:%225a4ed63b-2b%22	https://steamcommunity-a.akamaihd.net/public/images/trans.gif	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/images/trans.gif	(from https://steamcommunity.com/login/home/?goto=)
04:08:02	500/500	---M--	200	added ('OK')	image/png	etag:%225a4ed63a-1f4%22	https://steamcommunity-a.akamaihd.net/public/images//skin_1/blue_refresh_icon.png	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/images/skin_1/blue_refresh_icon.png	(from https://steamcommunity.com/login/home/?goto=)
04:08:02	3208/3208	---M--	200	added ('OK')	image/gif	etag:%225a4ed639-c88%22	https://steamcommunity-a.akamaihd.net/public/images/login/throbber.gif	C:/Users/mello/Desktop/steam/steamcommunity-a.akamaihd.net/public/images/login/throbber.gif	(from https://steamcommunity.com/login/home/?goto=)
